Cantidad,70
Numero,X,Y
0,72,236
1,230,440
2,276,24
3,365,386
4,434,254
5,277,4
6,370,495
7,97,256
8,23,24
9,286,101
10,370,154
11,404,301
12,350,173
13,104,248
14,491,21
15,331,351
16,341,86
17,264,332
18,77,183
19,260,386
20,371,380
21,158,488
22,39,47
23,359,302
24,301,274
25,43,145
26,195,124
27,110,481
28,13,95
29,198,9
30,397,430
31,350,144
32,142,449
33,130,265
34,321,43
35,236,441
36,351,170
37,493,127
38,376,279
39,393,427
40,86,381
41,101,125
42,121,259
43,131,475
44,2,344
45,279,67
46,141,70
47,205,67
48,349,30
49,176,67
50,362,65
51,467,260
52,2,390
53,11,179
54,398,387
55,229,249
56,139,366
57,439,5
58,452,80
59,76,468
60,265,286
61,26,214
62,66,27
63,265,146
64,238,310
65,366,407
66,488,270
67,103,433
68,12,338
69,422,229
70,239,121
