NrDataSet,FuncOb Inicial,FuncOb Final
1,6178.49,2802.51
2,6479.49,3055.03
3,7562.47,3173.13
4,7720.98,2976.18
5,7513.65,2556.67
6,9052.55,2909.14
7,9165.19,3347.66
8,8098.97,2798.3
9,7792.49,3026.12
10,8076.35,3367.43
11,6415.18,3208.76
12,7617.97,3202.49
13,9408.99,2713.61
14,8307.47,3519.31
15,7126.61,2842.96
16,8401.8,3145.4
17,8783.25,3541.96
18,9666.3,3295.3
19,7569.25,2765.34
20,9152.6,3204.33
21,8119.99,3338.14
22,8110.85,3521.16
23,7128.23,3090.16
24,6894.49,2518.79
25,7998.87,3331.28
26,8158.46,3071.67
27,7985.13,2915.34
28,9120.61,3292.5
29,8281.46,3628.75
30,7671.61,2848.5
31,7977.59,3073.78
32,9155.76,2877.5
33,7822.96,3200.78
34,8453.99,3339.4
35,7760.61,3352.58
36,7585.69,2735.11
37,9020.8,3092.84
38,7738.79,2983.62
39,8092.64,3432.39
40,9151.68,3201.64
